nutrient_id,name,name_vi,nutrient_code,unit
1,'ALA (Alpha-Linolenic Acid)','ALA (Alpha-Linolenic Acid)','ALA','mg'
2,'Histidine','Histidine','AMINO_HIS','mg'
3,'Isoleucine','Isoleucine','AMINO_ILE','mg'
4,'Leucine','Leucine','AMINO_LEU','mg'
5,'Lysine','Lysine','AMINO_LYS','mg'
6,'Methionine','Methionine','AMINO_MET','mg'
7,'Phenylalanine','Phenylalanine','AMINO_PHE','mg'
8,'Threonine','Threonine','AMINO_THR','mg'
9,'Tryptophan','Tryptophan','AMINO_TRP','mg'
10,'Valine','Valine','AMINO_VAL','mg'
11,'Calcium (Ca)','canxi (Ca)','CA','mg'
12,'Carbohydrate, by difference','carbohydrate, by difference','CHOCDF','g'
13,'Cholesterol','Cholesterol','CHOLESTEROL','mg'
14,'Chromium (Cr)','Chromium (Cr)','CR','mg'
15,'Copper (Cu)','Copper (Cu)','CU','mg'
16,'Energy (Calories)','Energy (Calories)','ENERC_KCAL','g'
17,'EPA + DHA Combined','EPA + DHA Combined','EPA_DHA','mg'
18,'Fluoride (F)','Fluoride (F)','F','mg'
19,'Linoleic acid (LA) 18:2 n-6','Linoleic acid (LA) 18:2 n-6','FA18_2N6C','mg'
20,'Alpha-linolenic acid (ALA) 18:3 n-3','Alpha-linolenic acid (ALA) 18:3 n-3','FA18_3N3','mg'
21,'DHA (Docosahexaenoic acid)','DHA (Docosahexaenoic acid)','FADHA','mg'
22,'EPA (Eicosapentaenoic acid)','EPA (Eicosapentaenoic acid)','FAEPA','mg'
23,'EPA + DHA (combined)','EPA + DHA (combined)','FAEPA_DHA','mg'
24,'Monounsaturated Fat (MUFA)','Monounsaturated chất béo (MUFA)','FAMS','mg'
25,'Polyunsaturated Fat (PUFA)','Polyunsaturated chất béo (PUFA)','FAPU','mg'
26,'Saturated Fat (SFA)','Saturated chất béo (SFA)','FASAT','mg'
27,'Total Fat','Total chất béo','FAT','g'
28,'Trans Fat (total)','Trans chất béo (total)','FATRN','mg'
29,'Iron (Fe)','sắt (Fe)','FE','mg'
30,'Dietary Fiber (total)','Dietary chất xơ (total)','FIBTG','g'
31,'Beta-Glucan','Beta-Glucan','FIB_BGLU','mg'
32,'Insoluble Fiber','Insoluble chất xơ','FIB_INSOL','mg'
33,'Resistant Starch','Resistant Starch','FIB_RS','mg'
34,'Soluble Fiber','Soluble chất xơ','FIB_SOL','mg'
35,'Iodine (I)','Iodine (I)','I','mg'
36,'Potassium (K)','kali (K)','K','mg'
37,'LA (Linoleic Acid)','LA (Linoleic Acid)','LA','mg'
38,'Magnesium (Mg)','magie (Mg)','MG','mg'
39,'Manganese (Mn)','Manganese (Mn)','MN','mg'
40,'Molybdenum (Mo)','Molybdenum (Mo)','MO','mg'
41,'Sodium (Na)','natri (Na)','NA','mg'
42,'Phosphorus (P)','Phosphorus (P)','P','mg'
43,'Protein','protein','PROCNT','g'
44,'Selenium (Se)','Selenium (Se)','SE','mg'
45,'Total Dietary Fiber','Total Dietary chất xơ','TOTAL_FIBER','mg'
46,'Vitamin A','vitamin A','VITA','mg'
47,'Vitamin B1 (Thiamine)','vitamin B1 (Thiamine)','VITB1','mg'
48,'Vitamin B12 (Cobalamin)','vitamin B12 (Cobalamin)','VITB12','mg'
49,'Vitamin B2 (Riboflavin)','vitamin B2 (Riboflavin)','VITB2','mg'
50,'Vitamin B3 (Niacin)','vitamin B3 (Niacin)','VITB3','mg'
51,'Vitamin B5 (Pantothenic acid)','vitamin B5 (Pantothenic acid)','VITB5','mg'
52,'Vitamin B6 (Pyridoxine)','vitamin B6 (Pyridoxine)','VITB6','mg'
53,'Vitamin B7 (Biotin)','vitamin B7 (Biotin)','VITB7','mg'
54,'Vitamin B9 (Folate)','vitamin B9 (Folate)','VITB9','mg'
55,'Vitamin C','vitamin C','VITC','mg'
56,'Vitamin D','vitamin D','VITD','mg'
57,'Vitamin E','vitamin E','VITE','mg'
58,'Vitamin K','vitamin K','VITK','mg'
59,'Water','nước','WATER','mg'
60,'Zinc (Zn)','kẽm (Zn)','ZN','mg'